# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Enriched: English glosses (all 2649) + ONE original A2–B1 German example sentence (de_sentence)
# with an English translation (en_sentence). Example sentences are ORIGINAL (the source's own
# examples were excluded for copyright). freq_rank: 1=most common (opensubtitles de_50k).
# Columns are tab-separated.
index	pos	article	word	plural	partizip_2	hilfsverb	english	de_sentence	en_sentence	freq_rank
200	V		auswählen		ausgewählt	haben	to select	Bitte wählen Sie aus der Speisekarte ein Gericht aus.	Please select a dish from the menu.	2127
201	N	der	Ausweis	Ausweise			ID card	Ohne Ausweis kann ich Ihnen leider kein Konto eröffnen.	Without an ID card I am unfortunately unable to open an account for you.	1255
202	V		ausziehen		ausgezogen	haben/sein	to take off; move out	Er zieht nächsten Monat aus der alten Wohnung aus.	He is moving out of the old apartment next month.	1217
203	N	der	Auszubildende	Auszubildenden			apprentice; trainee	Der Auszubildende lernt in der Bäckerei, wie man Brot backt.	The apprentice is learning at the bakery how to bake bread.	2572
204	N	das	Auto	Autos			car	Wir fahren morgen mit dem Auto in den Urlaub.	We are driving to our holiday destination by car tomorrow.	222
205	N	die	Autobahn	Autobahnen			motorway	Auf der Autobahn darf man oft unbegrenzt schnell fahren.	On the motorway you are often allowed to drive without a speed limit.	1941
206	N	der	Automat	Automaten			vending machine	Am Bahnhof gibt es einen Automaten für Kaffee und Snacks.	At the station there is a vending machine for coffee and snacks.	2463
207	X		automatisch				automatic; automatically	Die Tür öffnet sich automatisch, wenn man sich nähert.	The door opens automatically when someone approaches.	1901
208	N	das	Baby	Babys			baby	Das Baby schläft gerade und wir müssen leise sein.	The baby is sleeping right now and we need to be quiet.	208
209	N	der	Babysitter	Babysitter			babysitter	Wir suchen einen zuverlässigen Babysitter für unsere Tochter.	We are looking for a reliable babysitter for our daughter.	1682
210	V		backen		gebacken	haben	to bake	Am Wochenende backe ich oft einen Kuchen für die ganze Familie.	At the weekend I often bake a cake for the whole family.	1825
211	N	die	Bäckerei	Bäckereien			bakery	Die Bäckerei um die Ecke öffnet jeden Morgen um sechs Uhr.	The bakery around the corner opens every morning at six o'clock.	2151
212	V		baden		gebadet	haben	to bathe; go swimming	Die Kinder haben im Sommer jeden Tag im See gebadet.	The children swam in the lake every day in summer.	1578
213	N	das	Bad	Bäder			bathroom; bath	Unser Bad hat eine Badewanne und eine Dusche.	Our bathroom has a bathtub and a shower.	858
214	N	die	Badewanne	Badewannen			bathtub	Nach einem langen Arbeitstag nehme ich gerne ein Bad in der Badewanne.	After a long working day I like to take a bath in the bathtub.	1859
215	N	die	Bahn	Bahnen			railway; train	Ich fahre mit der Bahn zur Arbeit, weil es günstiger ist.	I travel to work by train because it is cheaper.	1576
216	X		S-Bahn				suburban train; S-Bahn	Die S-Bahn fährt alle zehn Minuten zum Flughafen.	The suburban train runs every ten minutes to the airport.	2573
217	N	die	Straßenbahn	Straßenbahnen			tram; streetcar	Die Straßenbahn hält direkt vor unserem Haus.	The tram stops right in front of our house.	2360
218	N	die	U-Bahn	U-Bahnen			underground; subway	Mit der U-Bahn kommt man schnell in die Innenstadt.	With the underground you can get to the city centre quickly.	1687
219	N	der	Bahnhof	Bahnhöfe			train station	Der Bahnhof liegt im Zentrum der Stadt und ist gut erreichbar.	The train station is in the centre of the city and easily accessible.	1361
220	N	der	Bahnsteig	Bahnsteige			platform	Bitte gehen Sie auf Bahnsteig drei, Ihr Zug fährt gleich ein.	Please go to platform three, your train is arriving shortly.	2325
221	X		bald				soon	Wir treffen uns bald wieder, ich freue mich sehr darauf.	We will meet again soon, I am really looking forward to it.	215
222	N	der	Balkon	Balkone			balcony	Im Sommer frühstücken wir am liebsten auf dem Balkon.	In summer we love having breakfast on the balcony.	1865
223	N	der	Ball	Bälle			ball	Die Kinder spielen im Garten mit einem roten Ball.	The children are playing in the garden with a red ball.	718
224	N	die	Banane	Bananen			banana	Jeden Morgen esse ich eine Banane zum Frühstück.	Every morning I eat a banana for breakfast.	2071
225	N	die	Bank	Bänke			bank; bench	Wir saßen auf einer Bank im Park und aßen unser Mittagessen.	We sat on a bench in the park and ate our lunch.	630
226	N	die	Bankleitzahl	Bankleitzahlen			bank sort code	Für die Überweisung brauchen Sie die Bankleitzahl und die Kontonummer.	For the bank transfer you need the sort code and the account number.	2574
227	X		bar				in cash	Ich bezahle lieber bar als mit der Kreditkarte.	I prefer to pay in cash rather than by credit card.	585
228	N	das	Bargeld				cash	Leider habe ich kein Bargeld mehr, nur noch meine Karte.	Unfortunately I have no more cash, only my card.	1537
229	N	der	Bart	Bärte			beard	Mein Vater trägt seit Jahren einen langen Bart.	My father has been wearing a long beard for years.	1163
230	N	die	Batterie	Batterien			battery	Die Batterie meines Handys ist leer, ich muss es laden.	The battery of my phone is flat, I need to charge it.	1857
231	N	der	Bauch	Bäuche			belly; stomach	Nach dem großen Mittagessen tut mir der Bauch ein bisschen weh.	After the large lunch my stomach hurts a little.	1034
232	V		bauen		gebaut	haben	to build	Sie bauen gerade ein neues Haus am Rand der Stadt.	They are currently building a new house on the edge of town.	749
233	N	der	Bau	Bauten			construction; building	Der Bau des neuen Rathauses dauert noch zwei Jahre.	The construction of the new town hall will take another two years.	1406
234	N	die	Baustelle	Baustellen			construction site	Wegen der Baustelle ist die Straße für Autos gesperrt.	The road is closed to cars because of the construction site.	2018
235	N	der	Bauer	Bauern			farmer	Der Bauer erntet im Herbst das Getreide von seinen Feldern.	The farmer harvests the grain from his fields in autumn.	1263
236	N	der	Baum	Bäume			tree	Im Garten steht ein alter Apfelbaum mit vielen Früchten.	In the garden there is an old apple tree with many fruits.	834
237	V		beachten		beachtet	haben	to observe; heed	Bitte beachten Sie die Verkehrsregeln und fahren Sie vorsichtig.	Please observe the traffic rules and drive carefully.	1923
238	N	der	Beamte	Beamten			civil servant; official	Der Beamte am Schalter hat mir alle Formulare erklärt.	The official at the counter explained all the forms to me.	1971
239	V		beantragen		beantragt	haben	to apply for	Sie möchte beim Amt einen neuen Reisepass beantragen.	She wants to apply for a new passport at the office.	2155
240	V		beantworten		beantwortet	haben	to answer	Können Sie bitte meine Frage beantworten?	Could you please answer my question?	1056
241	V		sich bedanken		bedankt	haben	to say thank you	Ich bedanke mich herzlich für Ihre große Hilfe.	I sincerely thank you for your great help.	1383
242	V		bedeuten		bedeutet	haben	to mean; signify	Was bedeutet dieses Wort auf Deutsch, ich verstehe es nicht?	What does this word mean in German, I do not understand it?	717
243	V		bedienen		bedient	haben	to serve; operate	Die Kellnerin bedient die Gäste freundlich und schnell.	The waitress serves the guests in a friendly and efficient manner.	1597
244	N	die	Bedienungsanleitung	Bedienungsanleitungen			operating manual; instructions	Lies bitte die Bedienungsanleitung, bevor du das Gerät benutzt.	Please read the operating manual before using the device.	2557
245	N	die	Bedingung	Bedingungen			condition; requirement	Eine wichtige Bedingung für den Job ist gutes Deutsch.	A good knowledge of German is an important requirement for the job.	1661
246	V		sich beeilen		sich beeilt	haben	to hurry up	Wir müssen uns beeilen, der Zug fährt in fünf Minuten ab.	We need to hurry up, the train leaves in five minutes.	909
247	V		beenden		beendet	haben	to finish; end	Sie hat die Ausbildung erfolgreich nach drei Jahren beendet.	She successfully finished the training after three years.	762
248	V		sich befinden		sich befunden	haben	to be located; be	Die Apotheke befindet sich direkt neben der Bushaltestelle.	The pharmacy is located right next to the bus stop.	1143
249	X		befreit				exempt; freed	Kinder unter sechs Jahren sind von der Kurtaxe befreit.	Children under six years of age are exempt from the visitor's tax.	1248
250	X		befriedigend				satisfactory	Das Ergebnis des Tests war befriedigend, aber nicht sehr gut.	The result of the test was satisfactory, but not very good.	2399
251	V		begegnen		begegnet	sein	to meet; encounter	Ich bin heute meiner alten Lehrerin im Supermarkt begegnet.	I ran into my old teacher at the supermarket today.	1581
252	X		begeistert				enthusiastic; excited	Die Kinder waren von dem neuen Spielplatz sehr begeistert.	The children were very enthusiastic about the new playground.	1165
253	V		beginnen		begonnen	haben	to begin; start	Der Deutschkurs beginnt nächsten Montag um neun Uhr.	The German course begins next Monday at nine o'clock.	702
254	N	der	Beginn				beginning; start	Am Beginn des Films wird die Geschichte der Familie erklärt.	At the beginning of the film the family's story is explained.	1487
255	V		begleiten		begleitet	haben	to accompany	Er begleitet seine Tochter jeden Morgen zur Schule.	He accompanies his daughter to school every morning.	972
256	X		begrenzt				limited; restricted	Die Plätze bei diesem Kurs sind leider sehr begrenzt.	The places on this course are unfortunately very limited.	2115
257	V		begründen		begründet	haben	to justify; give reasons for	Sie musste ihre Entscheidung vor dem Chef ausführlich begründen.	She had to justify her decision to her boss in detail.	2469
258	N	die	Begründung	Begründungen			justification; reason	Für seine Verspätung hatte er keine gute Begründung.	He had no good reason for being late.	2316
259	V		begrüßen		begrüßt	haben	to greet; welcome	Die Lehrerin begrüßt die Schüler jeden Morgen herzlich.	The teacher greets the pupils warmly every morning.	1313
260	V		behalten		behalten	haben	to keep; retain	Du kannst das Buch behalten, ich brauche es nicht mehr.	You can keep the book, I no longer need it.	489
261	V		behandeln		behandelt	haben	to treat; deal with	Der Arzt hat den Patienten freundlich und sorgfältig behandelt.	The doctor treated the patient in a friendly and careful manner.	959
262	V		behindern		behindert	haben	to obstruct; impede	Das falsch geparkte Auto behindert den Verkehr auf der Straße.	The wrongly parked car is obstructing the traffic on the road.	2233
263	N	die	Behörde	Behörden			authority; government office	Für die Ummeldung muss ich zur zuständigen Behörde gehen.	For the change of address I have to go to the responsible authority.	2035
264	X		bei				at; near; with	Wir treffen uns bei meiner Schwester zum gemeinsamen Abendessen.	We are meeting at my sister's place for dinner together.	54
265	X		beid				both	Beide Kinder haben ihr Zimmer heute selbst aufgeräumt.	Both children tidied up their room themselves today.	2575
266	N	das	Bein	Beine			leg	Nach dem langen Spaziergang tun mir die Beine sehr weh.	My legs hurt a lot after the long walk.	790
267	X		beinahe				almost; nearly	Ich hätte den Bus beinahe verpasst, er fuhr gerade ab.	I almost missed the bus, it was just leaving.	1029
268	N	das	Beispiel	Beispiele			example	Kannst du mir ein Beispiel für diesen Grammatikfehler geben?	Can you give me an example of this grammar mistake?	569
269	X		zum Beispiel				for example	Ich mag Obst, zum Beispiel Äpfel, Birnen und Erdbeeren.	I like fruit, for example apples, pears and strawberries.	70
270	N	der	Beitrag	Beiträge			contribution; fee	Der monatliche Beitrag für den Sportverein ist sehr günstig.	The monthly fee for the sports club is very affordable.	1832
271	X		bekannt				well-known; familiar	Berlin ist als kulturelle Hauptstadt Deutschlands bekannt.	Berlin is well known as the cultural capital of Germany.	564
272	N	der	Bekannte	Bekannten			acquaintance	Eine Bekannte von mir hat mir dieses Restaurant empfohlen.	An acquaintance of mine recommended this restaurant to me.	1618
273	V		bekannt geben		bekannt gegeben	haben	to announce; make known	Die Schule gibt die neuen Unterrichtszeiten morgen bekannt.	The school will announce the new lesson times tomorrow.	565
274	V		bekommen		bekommen	haben	to get; receive	Sie hat heute einen langen Brief von ihrer Freundin bekommen.	She received a long letter from her friend today.	210
275	N	der	Beleg	Belege			receipt; proof	Bitte heben Sie den Beleg als Nachweis für den Kauf auf.	Please keep the receipt as proof of purchase.	2398
276	V		beleidigen		beleidigt	haben	to insult; offend	Er hat seinen Kollegen mit einem unhöflichen Kommentar beleidigt.	He insulted his colleague with a rude comment.	1659
277	X		beliebt				popular; well-liked	Dieses Café ist bei Studenten wegen seiner günstigen Preise beliebt.	This café is popular with students because of its affordable prices.	1463
278	V		bemerken		bemerkt	haben	to notice; remark	Ich habe bemerkt, dass du heute sehr still bist.	I noticed that you are very quiet today.	1693
279	V		benötigen		benötigt	haben	to need; require	Für die Anmeldung benötigen Sie Ihren Reisepass oder Personalausweis.	For the registration you need your passport or identity card.	1485
280	V		benutzen		benutzt	haben	to use	Darf ich kurz dein Telefon benutzen, meins ist leer?	May I briefly use your phone, mine is flat?	545
281	N	das	Benzin				petrol; gasoline	Das Benzin ist diese Woche wieder teurer geworden.	Petrol has become more expensive again this week.	1295
282	V		beobachten		beobachtet	haben	to observe; watch	Die Kinder beobachten die Vögel am Futterhaus im Garten.	The children are watching the birds at the feeder in the garden.	1040
283	X		bequem				comfortable; convenient	Dieser Sessel ist sehr bequem, ich sitze stundenlang darin.	This armchair is very comfortable, I can sit in it for hours.	1337
284	V		beraten		beraten	haben	to advise; consult	Der Arzt hat mich gut beraten und einen Therapieplan erstellt.	The doctor advised me well and drew up a treatment plan.	1862
285	N	die	Beratung				advice; counseling	Ich gehe morgen zur Beratung beim Arbeitsamt.	I am going to the job centre for a consultation tomorrow.	2176
286	V		berechnen		berechnet	haben	to calculate; charge	Der Mechaniker hat mir zu viel für die Reparatur berechnet.	The mechanic charged me too much for the repair.	2143
287	X		berechtigt				entitled; authorized	Rentner sind berechtigt, das Ticket zum günstigeren Preis zu kaufen.	Pensioners are entitled to buy the ticket at the lower price.	2193
288	N	der	Bereich	Bereiche			area; field; sector	Sie arbeitet im Bereich der Medizin und forscht an neuen Medikamenten.	She works in the field of medicine and researches new drugs.	1215
289	X		bereit				ready; prepared	Seid ihr alle bereit, wir können jetzt abfahren?	Are you all ready, we can leave now?	217
